Protein,p_val,avg_log2FC,p_val_adj,clone1,clone2
IgG2b,NA,1.82834239818748,NA,IDH-NPM1,NPM1-only
CD117,NA,0.867983635968208,NA,IDH-NPM1,NPM1-only
CD163,NA,-0.756866762516701,NA,IDH-NPM1,NPM1-only
CD2,3.36407643904995e-17,-2.57069445686565,1.51383439757248e-15,IDH-NPM1,WT
CD5,1.53658936196452e-16,-2.73999745776732,6.91465212884035e-15,IDH-NPM1,WT
CD3,9.69525503818138e-16,-2.42040803979108,4.36286476718162e-14,IDH-NPM1,WT
CD8,7.88887049438466e-13,-2.52350880542348,3.5499917224731e-11,IDH-NPM1,WT
CD33,1.82216367313617e-10,1.52511913416912,8.19973652911274e-09,IDH-NPM1,WT
CD7,4.65357699566245e-10,-2.49163168263242,2.0941096480481e-08,IDH-NPM1,WT
CD11c,5.06954210613883e-07,1.43689931482069,2.28129394776247e-05,IDH-NPM1,WT
CD123,6.5594187431265e-06,1.32322190565031,0.000295173843440693,IDH-NPM1,WT
CD19,8.72424165866183e-06,-1.91300545794035,0.000392590874639783,IDH-NPM1,WT
CD56,4.86092652433595e-05,-1.11045760484804,0.00218741693595118,IDH-NPM1,WT
CD141,0.000100330061967663,0.388105539515763,0.00451485278854484,IDH-NPM1,WT
IgG1,0.000105064427768439,1.31409365957981,0.00472789924957977,IDH-NPM1,WT
CD13,0.000310502993324538,0.465847398237989,0.0139726346996042,IDH-NPM1,WT
CD49d,0.000578689790013252,0.306381149744177,0.0260410405505963,IDH-NPM1,WT
CD16,0.000985664377557985,-1.23320778138406,0.0443548969901093,IDH-NPM1,WT
CD64,0.00195404167120693,0.972309713004758,0.0879318752043117,IDH-NPM1,WT
CD4,0.00232326870199795,-1.42571462492611,0.104547091589908,IDH-NPM1,WT
CD45,0.00301810494891811,-1.05547231345365,0.135814722701315,IDH-NPM1,WT
CD303,0.00365247056525046,0.731824183479911,0.164361175436271,IDH-NPM1,WT
CD69,0.0038201981386451,0.585496833065902,0.171908916239029,IDH-NPM1,WT
CD44,0.00402212380817775,0.346274511728678,0.180995571367999,IDH-NPM1,WT
